needle,name-ru,description-ru,name-kk,description-kk,name-en,description-en
Английский завтрак,Английский завтрак,Сытный английский завтрак с говяжьими колбасками и миксом зелени,Ағылшын таңғы асы,Тоқ жүретін ағылшын таңғы асы сиыр еті шұжығы мен жасыл шөп қоспасымен.,English breakfast,Hearty English breakfast with beef sausages and a mix of greens.
Оладьи из кабачков ,Оладьи из кабачков ,"Кабачковые оладьи с гуакамоле, томатами, огурцами, шпинатом и кунжутным дрессингом",,,,
Зеленый боул,Зеленый боул,"Питательный боул с яйцом, кремом из оливок, шпинатом, кабачками, брокколи, авокадо и попкорном из киноа",,,,
Турецкий завтрак,Турецкий завтрак,"Сытный завтрак с яйцами, томатами конкасе, шпинатом и зеленым луком",,,,
Хумус 75гр,Хумус 100 гр,Нежный крем из нута с оливковым маслом и ароматной паприкой — классическая восточная закуска с мягкой текстурой и насыщенным вкусом.,,,,
Бабагануш 75гр,Бабагануш 100 гр,"Лёгкий крем из печёного баклажана с нотками копчёности, сибулетом и каплей оливкового масла — мягкий и бархатистый вкус Ближнего Востока",,,,
Капанато 75гр,Капоната 100 гр,"Средиземноморская закуска из томлёных овощей с добавлением кедровых орехов и сибулета — насыщенная, ароматная и сбалансированная.",,,,
Крем из феты 75гр,Крем из феты 100 гр,"Нежный сливочный крем с солоноватой фетой, оливковой пастой и сибулетом — изысканная намазка с выразительным вкусом.",,,,
Мухамара 75гр,Мухаммара 100 гр,"Пикантный дип из печёного перца и вяленых томатов с творожным сыром, сибулетом и оливковым маслом — яркое сочетание сладкого и острого.",,,,
Фруктовая нарезка/тарелка NEW,Фруктовая тарелка,"Свежие и сочные сезонные фрукты, нарезанные для удобства, — лёгкое и яркое дополнение к любому столу.",,,,
Восточные сладости,Восточные сладости,"Ассорти из благородных сыров с орехами, виноградом и медом — идеальное сочетание сладкого и солёного.",,,,
Сырная тарелка NEW,Сырная тарелка,"Ассорти из благородных сыров с орехами, виноградом и медом — идеальное сочетание сладкого и солёного.",,,,
Пивные креветки NEW,Пивные креветки ,"Сочные креветки, обжаренные с ароматными специями, подаются горячими - идеальная закуска к пенному",,,,
Брокколи в арахисовом соусе ,Брокколи в арахисовом соусе ,"Сочные соцветия брокколи в пряном арахисово-чили соусе, посыпанные фисташками и сибулетом, с каплей оливкового масла.",,,,
Пивной сет ,Пивной сет,Сытный набор пивных байтов не оставит вас равнодушным,,,,
Крылышки баффола,Крылышки баффало,"Хрустящие креветки в темпурном кляре, подаются с пикантным соусом динамит, кунжутом и сибулетом.",,,,
Креветки темпура с соусом васаби,Креветки темпура с соусом васаби,"Острые креветки в кляре с соусом васаби и терияке, украшенные луком сибулет и кунжутом",Темпура асшаяндары васаби соусымен,"Ащы клярдағы асшаяндар васаби және терияки соусымен, сибулет пиязы және күнжітпен безендірілген.",Tempura shrimp with wasabi sauce,"Spicy battered shrimp with wasabi and teriyaki sauce, garnished with chives and sesame seeds."
Лепешка греческая,Лепешка греческая,"Греческая лепешка на топленом масле с йогуртом, яйцами и сыром фетакса.",,,,
Слоеная лепешка с зеленым луком,Слоеная лепешка с зеленым луком,Пшеничная лепешка с зеленым луком,,,,
Суп гуляш ,Гуляш,Нежнейший суп гуляш с говяжьим ребром и отварными овощами,,,,
Том ям с морепродуктами NEW,Том ям с морепродуктами ,Пикантный Том Ям с морепродуктами,,,,
Куринный суп с пельменями и лапшой ,Куриный суп с пельменями и лапшой ,Насыщенный куриный бульон с домашней лапшой и пельменями,,,,
Борщ с чесночным багетом ,Борщ с телятиной,"Наваристый борщ с говядиной, подается со сметаной и Бородинским хлебом с сливочно-чесночным маслом.",,,,
Рамен с курицей NEW,Рамен с курицей ,"Японский суп с пшеничной лапшой, куриным филе, грибами шиитаке и сыром тофу",,,,
Спагетти болоньезе NEW,Спагетти Болоньезе ,Спагетти из твердых сортов пшеницы под соусом Болоньезе,,,,
Пенне арабьята NEW,Пенне Аррабиата,Пенне под соусом из микса спелых томатов с базиликом,,,,
Паста фетучинни Альфредо NEW,Фетучини Альфредо ,Фетучини с обжаренной куриной грудкой и шампиньонами под тертым Пармезаном,,,,
Чикен бургер New,Чикен бургер,Классический бургер с сочной котлетой из цыпленка,,,,
Бургер чайла ,Бургер Чайла ,Фирменный бургер с говяжьей котлетой собственного приготовления из мраморной говядины. Подается с картофелем фри,,,,
Пицца Маргарита NEW,Пицца Маргарита,"Маргарита с Моцареллой, свежим базиликом и тертым Пармезаном",,,,
Пицца Пепперони NEW,Пицца Пепперони ,"Пицца с томатным соусом, пикантной пепперони и сыром Пармезан.",,,,
Пицца цыпленок с грибами NEW,Пицца цыпленок с грибами ,"Популярная пицца с копченой куриной грудкой, шампиньонами и сыром Пармезан.",,,,
Пицца четыре сыра ,Пицца четыре сыра ,Нежнейшая пицца с 4 разными видами сыра,,,,
Греческий салат NEW,Греческий салат ,Салат из свежих овощей с оливками и сыром Фета заправленный греческим соусом и соусом бальзамик,,,,
Зеленый салат с креветкой ,Зеленый салат с креветками,Зеленый салат из свежих овощей и жаренных креветок,,,,
Лимонный тарт,Лимонный тарт,Рассыпчатое песочное тесто с ароматным лимонным кремом и нежной меренгой сверху,,,,
Баскский чизкейк с манго маракуйя,Баскский чизкейк манго-маракуйя,"Чизкейк Сан Себастьян, политый пюре манго и маракуйя",,,,
Бельгийские вафли,Бельгийские вафли,"Горячие вафли с ванильным мороженым, сливочным кремом, смородиновым джемом и бананом, украшенные карамельным соусом, сахарной пудрой и мятой.",Банан қосылған бельгиялық вафли,"Ванильді балмұздақ, кілегей, қарақат джемі және банан қосылған ыстық вафли, карамель соусымен, қант ұнтағымен және жалбызбен безендірілген",Belgian Waffles with Banana,"Hot waffles with vanilla ice cream, creamy whipped topping, blackcurrant jam, and banana, garnished with caramel sauce, powdered sugar, and mint"
Сырники с иримшиком NEW,Сырники из иримшика,Теплые сырники из иримшика с ягодным соусом и сливочным муссом,,,,
Куриное бедро с картофелем и грибами ,Куриное бедро с картофелем и грибами ,"Нежное куриное бедро, запеченное с картофелем и шампиньонами, в сочетании с ароматным соевым соусом и зелёным луком для пикантного вкуса.",,,,
Филе миньона с картофельным гратеном  ,Филе Миньон с картофельным гратеном,"Нежнейший филе миньон с устричным соусом, подается с ароматным картофельным гратеном и хрустящими чесночными чипсами.",,,,
Говяжья котлета с пюре и яйцом ,Говяжья котлета с пюре и яйцом ,"Обжаренная на растительном масле говяжья котлета, подается с картофельным пюре и грибами шампиньон",,,,
Донер с цыпленком,Донер с цыпленком,"Фирменный донер с курицей, маринованными огурцами и фри, подается с картофелем фри и кетчупом.",,,,
Жареный рис с цыпленком NEW,Жареный рис с цыпленком ,"Жареный в терияке соусе рис с яйцом, подается с куриным филе и чесночными чипсами",,,,
Соте из морепродуктов,Соте из морепродуктов,"Соте из морепродуктов с креветками, кальмарами, мидиями, вонголе и анчоусами, приготовленное с луком шалот, оливками и каперсами на сливочном масле, украшено петрушкой и луком сибулет.",,,,
Удон с креветками NEW,Удон с креветками ,Лапша удон с тигровыми креветками и томлеными овощами под зеленым соусом Карри,,,,
Английский завтрак,Английский завтрак,Сытный английский завтрак с говяжьими колбасками и миксом зелени,Ағылшын таңғы асы,Тоқ жүретін ағылшын таңғы асы сиыр еті шұжығы мен жасыл шөп қоспасымен.,English breakfast,Hearty English breakfast with beef sausages and a mix of greens.
Оладьи из кабачков ,Оладьи из кабачков ,"Кабачковые оладьи с гуакамоле, томатами, огурцами, шпинатом и кунжутным дрессингом",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Креветки темпура с соусом васаби,Креветки темпура с соусом васаби,"Острые креветки в кляре с соусом васаби и терияке, украшенные луком сибулет и кунжутом",Темпура асшаяндары васаби соусымен,"Ащы клярдағы асшаяндар васаби және терияки соусымен, сибулет пиязы және күнжітпен безендірілген.",Tempura shrimp with wasabi sauce,"Spicy battered shrimp with wasabi and teriyaki sauce, garnished with chives and sesame seeds."
